Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Fitness
210.045,586.381,-709.604,644.286,457.486,94.096,-492.101,-823.963,-31.0614,-727.815,536.111,869.497,656.018,-347.22,-724.983,-1007.79,6.11224e+06
335.172,-639.77,443.503,154.486,-61.4042,547.92,985.224,-760.639,103.462,-382.52,-966.747,-963.899,158.97,-854.189,-934.035,-669.945,6.69247e+06
-82.1971,1.57217,850.466,-164.518,-803.269,-551.084,912.197,194.871,-296.258,804.273,-408.424,780.482,-775.918,897.494,896.382,-316.887,6.39837e+06
-988.06,-300.971,-653.699,-479.095,257.399,-116.535,483.968,280.652,-408.459,-360.701,610.604,65.8699,-763.125,177.609,-741.419,755.114,4.52461e+06
-759.255,346.948,812.668,-823.043,61.9155,938.17,-454.773,-448.373,-61.3327,916.896,616.476,-468.612,-549.713,-617.233,-143.922,630.591,5.8723e+06
-712.085,239.738,-56.7493,299.665,-197.662,532.116,-366.577,454.999,941.38,162.287,275.58,50.7929,-28.7736,-678.816,384.1,217.44,2.96884e+06
108.31,-396.438,-216.082,-136.819,322.529,462.63,-383.071,234.98,-265.474,-30.2865,-856.233,161.132,811.913,928.574,-338.667,-675.582,3.67754e+06
976.16,607.652,-423.575,-1014.8,-482.91,931.728,-52.7016,-421.245,-322.78,-554.605,133.743,-579.242,401.186,-55.7812,-698.348,1000.26,6.23053e+06
-209.449,-226.428,-117.036,-578.414,947.87,-154.626,176.463,-329.276,-39.8178,827.577,-680.728,600.886,-77.5446,-497.784,381.89,-523.607,3.69025e+06
-709.889,-347.84,-424.176,471.797,544.778,-807.256,548.619,-498.548,-560.013,421.381,765.445,219.631,899.339,338.793,726.314,42.2342,5.10383e+06
789.956,-788.177,-232.651,-431.287,-718.365,-718,-117.014,-117.892,841.138,903.353,-984.931,-493.292,-1006.7,781.133,65.7617,-693.996,7.39122e+06
676.809,-877.074,724.224,-990.907,-92.3846,-299.076,305.149,102.842,-299.405,995.448,-144.704,-31.3427,263.804,-820.919,781.149,135.173,5.40997e+06
359.812,865.566,291.514,-877.088,-852.831,139.738,-785.07,-936.173,-238.26,979.174,101.807,788.095,-96.5518,881.982,-962.735,449.434,7.53575e+06
932.573,-62.3273,-504.105,310.281,-241.717,-330.665,-292.07,-180.901,-100.567,-682.589,361.009,696.726,479.83,-164.689,-683.753,433.806,3.51479e+06
-916.154,3.98616,921.182,-304.137,478.564,890.279,-786.082,223.541,129.329,-13.1424,22.6384,-207.283,-746.101,-593.673,-908.551,678.102,5.72488e+06
-992.86,-558.724,701.359,852.016,-361.517,374.283,-969.742,898.399,-590.323,-716.613,-836.124,345.868,-343.578,55.0782,988.658,-767.828,7.90308e+06
141.857,-427.251,124.151,757.181,355.122,903.108,498.304,21.0678,-739.887,-811.499,-369.428,-295.556,656.845,7.36819,42.6481,1018.22,4.88191e+06
274.342,170.275,672.291,-712.596,738.979,-479.829,-426.609,362.805,-775.861,-656.521,962.781,259.741,-503.866,818.681,-308.106,-707.127,5.7006e+06
983.7,-786.741,149.495,512.153,883.492,-798.657,56.9451,-752.605,557.153,-605.609,-559.708,1020.81,706.95,308.302,287.78,200.839,6.61001e+06
